,Athelete,Sport,Medal
177,Bair Badënov,Male Archery,bronze
676,Ilario Di Buò,Male Archery,silver
682,Im Dong-hyun,Male Archery,gold
760,Jiang Lin,Male Archery,bronze
920,Lee Chang-hwan,Male Archery,gold
950,Li Wenquan,Male Archery,bronze
1043,Marco Galiazzo,Male Archery,silver
1107,Mauro Nespoli,Male Archery,silver
1314,Park Kyung-mo,Male Archery,silver
1710,Viktor Ruban,Male Archery,gold
1768,Xue Haifeng,Male Archery,bronze
2124,Bérengère Schuh,Female Archery,bronze
2160,Chen Ling,Female Archery,silver
2472,Guo Dan,Female Archery,silver
2656,Joo Hyun-Jung,Female Archery,gold
3191,Park Sung-hyun,Female Archery,silver
3424,Sophie Dodemont,Female Archery,bronze
3595,Virginie Arnold,Female Archery,bronze
3696,Yun Ok-hee,Female Archery,bronze
3705,Zhang Juanjuan,Female Archery,gold
3750,Aaron Armstrong,Male Athletics,gold
3767,Ainārs Kovals,Male Athletics,silver
3795,Alex Schwazer,Male Athletics,gold
3809,Alfred Kirwa Yego,Male Athletics,bronze
3842,Andrae Williams,Male Athletics,silver
3850,Andreas Thorkildsen,Male Athletics,gold
3855,Andrei Krauchanka,Male Athletics,silver
3857,Andretti Bain,Male Athletics,silver
3862,Andrew Steele,Male Athletics,bronze
3865,Andrey Silnov,Male Athletics,gold
3876,Angelo Taylor,Male Athletics,gold
3915,Asbel Kiprop,Male Athletics,gold
3921,Avard Moncur,Male Athletics,silver
3951,Bershawn Jackson,Male Athletics,bronze
3981,Brimin Kipruto,Male Athletics,gold
3992,Bruno de Barros,Male Athletics,bronze
3993,Bryan Clay,Male Athletics,gold
4055,Chris Brown,Male Athletics,silver
4059,Christian Cantwell,Male Athletics,silver
4127,David Neville,Male Athletics,bronze
4128,David Oliver,Male Athletics,bronze
4129,David Payne,Male Athletics,silver
4134,Dayron Robles,Male Athletics,gold
4142,Denis Nizhegorodov,Male Athletics,bronze
4145,Derek Miles,Male Athletics,bronze
4179,Dylan Armstrong,Male Athletics,bronze
4190,Edwin Soi,Male Athletics,bronze
4209,Eliud Kipchoge,Male Athletics,silver
4231,Emmanuel Callender,Male Athletics,gold
4312,Gerd Kanter,Male Athletics,gold
4315,Germaine Mason,Male Athletics,silver
4335,Godfrey Khotso Mokoena,Male Athletics,silver
4419,Ibrahim Camejo,Male Athletics,bronze
4449,Irving Saladino,Male Athletics,gold
4456,Ismail Ahmed Ismail,Male Athletics,silver
4458,Ivan Tsikhan,Male Athletics,bronze
4478,Jaouad Gharib,Male Athletics,silver
4480,Jared Tallent,Male Athletics,bronze
4494,Jefferson Pérez,Male Athletics,silver
4504,Jeremy Wariner,Male Athletics,silver
4538,José Carlos Moreira,Male Athletics,bronze
4593,Kenenisa Bekele,Male Athletics,gold
4598,Kerron Clement,Male Athletics,silver
4603,Keston Bledman,Male Athletics,gold
4652,LaShawn Merritt,Male Athletics,gold
4683,Leevan Sands,Male Athletics,bronze
4689,Leonel Suárez,Male Athletics,bronze
4771,Mahiedine Mekhissi-Benabbad,Male Athletics,silver
4786,Marc Burns,Male Athletics,gold
4833,Martyn Rooney,Male Athletics,bronze
4871,Mehdi Baala,Male Athletics,bronze
4887,Micah Kogo,Male Athletics,bronze
4888,Michael Bingham,Male Athletics,bronze
4890,Michael Mathieu,Male Athletics,silver
4948,Naoki Tsukahara,Male Athletics,silver
4974,Nelson Évora,Male Athletics,gold
4978,Nick Willis,Male Athletics,silver
4998,Nobuharu Asahara,Male Athletics,silver
5091,Phillips Idowu,Male Athletics,silver
5093,Piotr Małachowski,Male Athletics,silver
5099,Primož Kozmus,Male Athletics,gold
5121,Ramon Miller,Male Athletics,silver
5135,Reggie Witherspoon,Male Athletics,gold
5150,Richard Mateelong,Male Athletics,bronze
5152,Richard Thompson,Male Athletics,silver
5162,Robert Tobin,Male Athletics,bronze
5215,Samuel Wanjiru,Male Athletics,gold
5219,Sandro Viana,Male Athletics,bronze
5261,Shawn Crawford,Male Athletics,silver
5271,Shingo Suetsugu,Male Athletics,silver
5272,Shinji Takahira,Male Athletics,silver
5275,Sileshi Sihine,Male Athletics,silver
5319,Steve Hooker,Male Athletics,gold
5375,Tero Pitkämäki,Male Athletics,bronze
5411,Tomasz Majewski,Male Athletics,gold
5429,Tsegaye Kebede,Male Athletics,bronze
5435,Usain Bolt,Male Athletics,gold
5436,Vadim Devyatovskiy,Male Athletics,silver
5441,Valeriy Borchin,Male Athletics,gold
5453,Vicente de Lima,Male Athletics,bronze
5467,Virgilijus Alekna,Male Athletics,bronze
5476,Walter Dix,Male Athletics,bronze
5498,Wilfred Bungei,Male Athletics,gold
5535,Yaroslav Rybakov,Male Athletics,bronze
5552,Yevgeny Lukyanenko,Male Athletics,silver
5639,Agnes Osazuwa,Female Athletics,silver
5697,Allyson Felix,Female Athletics,silver
5756,Anna Chicherova,Female Athletics,bronze
5806,Barbora Špotáková,Female Athletics,gold
5836,Blanka Vlašić,Female Athletics,silver
5837,Blessing Okagbare,Female Athletics,silver
5839,Bobby-Gaye Wilkins,Female Athletics,silver
5903,Catherine Ndereba,Female Athletics,silver
5908,Chelsea Hammond,Female Athletics,bronze
5942,Christina Obergföll,Female Athletics,bronze
5946,Christine Ohuruogu,Female Athletics,gold
5959,Constantina Diță,Female Athletics,gold
6007,Dawn Harper-Nelson,Female Athletics,gold
6080,Elisa Rigaudo,Female Athletics,bronze
6108,Ene Franca Idoko,Female Athletics,silver
6122,Eunice Jepkorir,Female Athletics,silver
6165,Françoise Mbango Etone,Female Athletics,gold
6209,Gloria Kemasuode,Female Athletics,silver
6211,Gong Lijiao,Female Athletics,bronze
6233,Gölnara Galkina-Sämitevä,Female Athletics,gold
6236,Halimat Ismaila,Female Athletics,silver
6239,Hanna Mariën,Female Athletics,gold
6244,Hasna Benhassi,Female Athletics,bronze
6287,Hyleas Fountain,Female Athletics,silver
6325,Iryna Lishchynska,Female Athletics,silver
6349,Janeth Jepkosgei,Female Athletics,silver
6374,Jennifer Suhr,Female Athletics,silver
6466,Kelly Sotherton,Female Athletics,bronze
6474,Kerron Stewart,Female Athletics,bronze
6489,Kim Gevaert,Female Athletics,gold
6508,Kjersti Plätzer,Female Athletics,silver
6591,Linet Masai,Female Athletics,bronze
6621,Lucimar de Moura,Female Athletics,bronze
6659,Manuela Montebrun,Female Athletics,bronze
6688,Marilyn Okoro,Female Athletics,bronze
6694,Mariya Abakumova,Female Athletics,silver
6711,Mary Wineberg,Female Athletics,gold
6734,Maurren Maggi,Female Athletics,gold
6748,Melaine Walker,Female Athletics,gold
6759,Meseret Defar,Female Athletics,silver
6804,Monique Henderson,Female Athletics,gold
6822,Nancy Langat,Female Athletics,gold
6835,Nataliya Dobrynska,Female Athletics,gold
6836,Nataliya Tobias,Female Athletics,bronze
6839,Natasha Hastings,Female Athletics,gold
6854,Nicola Sanders,Female Athletics,bronze
6883,Novlene Williams-Mills,Female Athletics,silver
6899,Olena Antonova,Female Athletics,silver
6902,Olga Kaniskina,Female Athletics,gold
6907,Olivia Borlée,Female Athletics,gold
6911,Oludamola Osayomi,Female Athletics,silver
6928,Pamela Jelimo,Female Athletics,gold
6976,Priscilla Lopes-Schliep,Female Athletics,bronze
7061,Rosemar Coelho Neto,Female Athletics,bronze
